mcc,untypeable,set,type
0.278468423900672,0,195481_128947_77862_115453_25719,training
0.505634579540258,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687,training
0.617957673019531,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259,training
0.670661741791302,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886,training
0.668030215052108,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799,training
0.699923373078142,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420,training
0.738257408136438,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068,training
0.769287889888238,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321,training
0.813912030953862,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148,training
0.826319534710481,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068,training
0.833322889982692,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543,training
0.836055749730267,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601,training
0.84576343511001,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275,training
0.861762319377102,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808,training
0.874430838857062,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663,training
0.873103014246393,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879,training
0.878742872570906,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788,training
0.878609676425473,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788_96010_161095_185703_15978,training
0.887080978362712,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788_96010_161095_185703_15978_96344_215346_31129,training
0.891226823519984,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788_96010_161095_185703_15978_96344_215346_31129_97356_26717_199836_208480,training
0.148602601024407,0,195481_128947_77862_115453_25719,validation
0.259169848410961,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687,validation
0.276763467804293,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259,validation
0.386966343806778,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886,validation
0.400297546615427,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799,validation
0.437472625511042,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420,validation
0.446525119585124,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068,validation
0.512463103267252,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321,validation
0.459989978079882,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148,validation
0.506681006507764,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068,validation
0.501124624938005,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543,validation
0.511857291166644,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601,validation
0.533852173499692,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275,validation
0.560260961356766,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808,validation
0.581487641258723,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663,validation
0.541825029809094,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879,validation
0.536561261041607,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788,validation
0.561406715485471,0,195481_128947_77862_115453_25719_113828_16358_185704_96699_158687_219064_78786_221827_10740_85259_4665_152784_139224_87268_105886_12019_25717_82721_164799_14050_136971_97081_3420_220357_6500_20068_177044_138649_74_140321_183416_117398_118909_213148_223922_165695_18150_134068_73_108245_165543_224524_63745_188390_115601_212296_78153_37275_218796_21154_214808_47157_10656_143219_183417_51663_40879_81361_10684_98517_19788_96010_161095_185703_15978,validation
