mcc,untypeable,set,type
0.695322656218934,0,228107_213179_213148_39967_213309,training
0.749822562426063,0,228107_213179_213148_39967_213309_91113_213507_213300_58712,training
0.811573799780211,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855,training
0.828380081418009,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008,training
0.842075582565414,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521,training
0.856284001573261,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157,training
0.85647892288564,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396,training
0.862122048350648,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697,training
0.861070856385173,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481,training
0.869828060985706,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189,training
0.872505057438416,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164,training
0.873927955396562,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745,training
0.882219421771871,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762,training
0.876542687703074,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049,training
0.872157384096214,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077,training
0.872047134697803,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151,training
0.870606734506542,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164,training
0.873459528592536,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975,training
0.867723273109094,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286,training
0.870584896067823,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286_25680,training
0.393038709833429,0,228107_213179_213148_39967_213309,validation
0.461171843568949,0,228107_213179_213148_39967_213309_91113_213507_213300_58712,validation
0.540926193099436,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855,validation
0.569777530912738,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008,validation
0.571136874354876,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521,validation
0.593375683185768,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157,validation
0.593375683185768,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396,validation
0.610742673330506,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697,validation
0.605234439156389,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481,validation
0.605234439156389,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189,validation
0.62232760699556,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164,validation
0.608794292480757,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745,validation
0.638000386410407,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762,validation
0.641376432238022,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049,validation
0.628435970679611,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077,validation
0.620924755503618,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151,validation
0.612066394098039,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164,validation
0.620585856119903,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975,validation
0.620600989295505,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286,validation
0.647147883221339,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286_25680,validation
0.663405220423525,0,228107_213179_213148_39967_213309,all
0.716139997499271,0,228107_213179_213148_39967_213309_91113_213507_213300_58712,all
0.780131445357329,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855,all
0.797775918233492,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008,all
0.809416438795201,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521,all
0.824849357705515,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157,all
0.825025895920876,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396,all
0.83209869393165,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697,all
0.828807000582432,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481,all
0.836154452632322,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189,all
0.840739540596413,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164,all
0.840601160317843,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745,all
0.852826245310523,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762,all
0.84813347546769,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049,all
0.843862229393737,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077,all
0.842648915565794,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151,all
0.840217631610044,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164,all
0.843819272635574,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975,all
0.838925999480967,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286,all
0.844113582327913,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286_25680,all
