snp_sets,tr_score,va_score,co_score,tr_untypeable,va_untypeable,co_untypeable,r_type
"215503, 213179, 213220, 154614, 27509",0.99623027402379,0.868971758788244,0.973204871562204,0,0,0,mcc_esea
"138164, 213179, 177155, 40080, 214348",0.977216842117108,0.913968349950581,0.96779778648983,0,0,0,mcc_esea
"211182, 213142, 213179, 146583, 40003",0.973569124372205,0.915003043819829,0.965323371602463,0,3,3,mcc_esea
"111363, 195968, 213179, 146583, 39801",0.977243751472882,0.928737902171596,0.970584020044088,0,1,1,mcc_esea
"146583, 213179, 177155, 40028, 27917",0.988626590041472,0.928737902171596,0.978581814331309,0,1,1,mcc_esea
"100293, 213179, 58717, 177184, 169055",0.977597570258666,0.913282178946656,0.968020133517879,0,1,1,mcc_esea
"111360, 195968, 213179, 213379, 38799",0.981039519786623,0.823478390838715,0.951721303287102,0,2,2,mcc_esea
"154740, 213179, 211286, 213220, 40003",0.95186439645621,0.942716076043751,0.955035309119203,0,2,2,mcc_esea
"214249, 116246, 213179, 213220, 213507",0.969718790262972,0.860561743732136,0.951938263940826,0,4,4,mcc_esea
"211286, 213179, 60322, 40003, 77693",0.963625436922799,0.889437522198278,0.952293216099442,0,2,2,mcc_esea
"200482, 228502, 40003, 219064, 214348",0.946469415177134,0.956294196483839,0.953793343837318,0,2,2,percent_esea
"160633, 228502, 40028, 136971, 214348",0.910872003867756,0.999999999897119,0.934723698744169,0,0,0,percent_esea
"228502, 136971, 40003, 81211, 2648",0.936478945621524,0.912708810824732,0.939254883768303,0,2,2,percent_esea
"136971, 228107, 40003, 33567, 226429",0.895579898759752,0.912708810824732,0.909085044255294,0,2,2,percent_esea
"84458, 151244, 40003, 78358, 171851",0.826149237987415,0.854980089625076,0.846515949342007,0,3,3,percent_esea
"219064, 228107, 40003, 33567, 151244",0.886650084338096,0.927152898996731,0.904595352549537,0,2,2,percent_esea
"10684, 228107, 40003, 33567, 195481",0.877896051242082,0.883394080868617,0.889208885662438,0,2,2,percent_esea
"151244, 228107, 40003, 142240, 33567",0.875015988029847,0.883027223480839,0.88843266636473,0,2,2,percent_esea
"195481, 228107, 40003, 33567, 69765",0.875015988029847,0.897670797465673,0.889905373165322,0,2,2,percent_esea
"224524, 228107, 40003, 33567, 135126",0.860890066059778,0.853396926032522,0.87173908463572,0,2,2,percent_esea
"167346, 41777, 31294, 222194, 77591",0.808254952975383,0.201047426256685,0.647924981412106,0,3,3,mcc_vietnam
"222194, 31294, 53497, 39923, 82705",0.828273244179894,0.263203542151751,0.67810206976408,0,5,5,mcc_vietnam
"185010, 30704, 151772, 169585, 81006",0.730825395254194,0.125735343935728,0.56851312499907,0,1,1,mcc_vietnam
"222266, 31294, 8313, 9091, 203773",0.81933314636377,0.395375828596238,0.708564959326566,0,3,3,mcc_vietnam
"223125, 31294, 194967, 55296, 198744",0.8208819779252,0.463753316529724,0.727130391780674,0,2,2,mcc_vietnam
"31294, 179791, 194967, 30251, 37283",0.795038824826771,0.298456109566537,0.658186856973838,0,3,3,mcc_vietnam
"190432, 84705, 99637, 168684, 196631",0.777665596241227,0.494907358285038,0.705111958284229,0,1,1,mcc_vietnam
"215503, 213164, 82705, 16553, 103095",0.717516253696747,0.235598880938203,0.583344045221446,0,0,0,mcc_vietnam
"47931, 39967, 37655, 78058, 169585",0.737492209540937,0.303737562575734,0.62586598835347,0,1,1,mcc_vietnam
"173975, 175403, 220689, 194967, 40056",0.773842493333738,0.264244162957946,0.634363742368774,0,1,1,mcc_vietnam
"137760, 6267, 39967, 194341, 110642",0,-0.0191311279855593,-0.0050261410868095,0,1,1,percent_vietnam
"48685, 6267, 228502, 39967, 103600",0,0,0,0,0,0,percent_vietnam
"200482, 228502, 39967, 41910, 103600",0,-0.0191311279855593,-0.0050261410868095,0,1,1,percent_vietnam
"160633, 6267, 39967, 228502, 103600",0,0,0,0,0,0,percent_vietnam
"16358, 228502, 40003, 103600, 53541",0,-0.0271027592191759,-0.00710992306291957,0,2,2,percent_vietnam
"59509, 39967, 6267, 141859, 110642",0,-0.0332521493905328,-0.00871015372611578,0,3,3,percent_vietnam
"141859, 6267, 39967, 228502, 2091",0,-0.0191311279855593,-0.0050261410868095,0,1,1,percent_vietnam
"226497, 6267, 39967, 228502, 53541",0,0,0,0,0,0,percent_vietnam
"6267, 84458, 39967, 228502, 103600",0,0,0,0,0,0,percent_vietnam
"228502, 41910, 39967, 103600, 75768",0,-0.0191311279855593,-0.0050261410868095,0,1,1,percent_vietnam
"215503, 213179, 213220, 154614, 27509",0.99623027402379,0.868971758788244,0.973204871562204,0,0,0,mcc_esea_sensitive
"138164, 213179, 177155, 40080, 214348",0.697929276509059,0.970370370270538,0.755128185779856,0,0,0,mcc_esea_sensitive
"211182, 213142, 213179, 146583, 40003",0.298021182193908,0.36888379629056,0.327807715120623,0,3,3,mcc_esea_sensitive
